CompoundID,Tags,Name,Formula,Superclass,Class,Subclass,KEGG ID
FT_223.05996_11.949_RPPOS,Not in Internal DB. MS/MS match only,"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",C11H12O6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_287.22153_17.005_RPPOS,Potential ID (Low Confidence),"(3S,4R)-dihydroxy-(6S)-undecyl-alpha-pyranone",C16H30O4,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,
FT_287.22153_17.065_RPPOS,Potential ID (Low Confidence),"(3S,4R)-dihydroxy-(6S)-undecyl-alpha-pyranone",C16H30O4,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,
FT_177.05568_1.322_HNEG,Potential ID (Low Confidence),(3S)-2-Oxo-3-phenylbutanoic acid,C10 H10 O3,Benzenoids,Benzene and substituted derivatives,,
FT_242.21129_17.354_RPPOS,Potential ID (Low Confidence),"(4E,6E,d14:2) sphingosine",C14H27NO2,Benzenoids,Benzene and substituted derivatives,,
FT_242.2113_17.047_RPPOS,Potential ID (Low Confidence),"(4E,6E,d14:2) sphingosine",C14H27NO2,Benzenoids,Benzene and substituted derivatives,,
FT_259.09633_16.938_RPPOS,Potential ID (Low Confidence),"(4Z, 8Z)-10-Tigloyloxy matricaria lactone",C15H14O4,Benzenoids,Phenol ethers,Anisoles,
FT_152.07051_7.32_RPPOS,Potential ID (Low Confidence),(E)-4-hydroxyphenylacetaldehydeoxime,C8H9NO2,Benzenoids,Benzene and substituted derivatives,Anilides,
FT_283.15518_1.244_HNEG,Potential ID (Low Confidence),"(S)-6-(2,9-dihydroxynonyl)-4-hydroxy-3-methyl-2H-pyran-2-one",C15 H24 O5,Benzenoids,Phenols,Benzenetriols and derivatives,
FT_327.01493_1.202_HNEG,Potential ID (Low Confidence),"[Similar to: 2-[(3,3-dimethyl-2-oxobutyl)thio]-6-oxo-4-pyridin-3-yl-1,6-dihydropyrimidine-5-carbonitrile; ΔMass: -0.0772 Da]",C16 H8 O8,Benzenoids,Phenols,Cresols,
FT_239.06737_1.095_HNEG,Potential ID (Low Confidence),[Similar to: N-benzyl-N-methyl-N'-phenylurea; ΔMass: -0.0516 Da],C12 H17 O P S,Benzenoids,Benzene and substituted derivatives,,
FT_183.06506_6.785_RPPOS,Potential ID (Low Confidence),"1-(3,5-dihydroxyphenyl)-1- hydroxypropane-2-one",C9H10O4,Benzenoids,Phenols,Methoxyphenols,
FT_355.15389_15.01_RPPOS,Not in Internal DB. MS/MS match only,"1-[2-hydroxy-4-(3-hydroxy-5-methylphenoxy)-6-methylphenyl]-3-methylbutane-2,3-diol",C19H24O5,Benzenoids,Benzene and substituted derivatives,Diphenylethers,
FT_339.12254_18.8_RPPOS,Not in Internal DB. MS/MS match only,1-hydroxy-1-(4-methoxyphenyl)propan-2-yl 4-methoxybenzoate,C18H20O5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_339.12255_18.576_RPPOS,Not in Internal DB. MS/MS match only,1-hydroxy-1-(4-methoxyphenyl)propan-2-yl 4-methoxybenzoate,C18H20O5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_287.12761_18.005_RPPOS,Potential ID (Low Confidence),"1-oxo-4(S),6,9-trihydroxy-8-n-propyl-1,2,3,4-tetrahydroanthracene",C17H18O4,Benzenoids,Phenols,,
FT_197.07081_10.925_RPPOS,Potential ID (Low Confidence),1-Phenazinol,C12H8N2O,Benzenoids,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines
FT_205.12216_12.048_RPPOS,Potential ID (Low Confidence),"1-Phenylheptane-1,5-dione",C13H16O2,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,
FT_197.07083_14.491_RPPOS,Potential ID (Low Confidence),"1,10-Phenanthroline 1-oxide",C12H8N2O,Benzenoids,,,
FT_255.02997_1.248_HNEG,Potential ID (Low Confidence),"1,2,4-Trihydroxyanthraquinone",C14 H8 O5,Benzenoids,Anthracenes,Anthraquinones,
FT_275.05485_16.884_RPPOS,Potential ID (Low Confidence),"1,3,5,6-tetrahydroxy-8-methylxanthone",C14H10O6,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,
FT_195.02984_1.333_HNEG,Potential ID (Low Confidence),"1,6,8-Trihydroxy-1H-cyclohepta[c]furan-5(3H)-one",C9 H8 O5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_195.02987_1.661_HNEG,Potential ID (Low Confidence),"1,6,8-Trihydroxy-1H-cyclohepta[c]furan-5(3H)-one",C9 H8 O5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_195.02988_1.584_HNEG,Potential ID (Low Confidence),"1,6,8-Trihydroxy-1H-cyclohepta[c]furan-5(3H)-one",C9 H8 O5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_447.27534_1.125_HNEG,Potential ID (Low Confidence),16-feruloyloxypalmitic acid,C26 H40 O6,Benzenoids,Phenols,Methoxyphenols,
FT_269.21229_1.316_HNEG,Potential ID (Low Confidence),16-Oxohexadecanoic acid,C16 H30 O3,Benzenoids,Benzene and substituted derivatives,,
FT_389.08796_1.114_HNEG,Potential ID (Low Confidence),"2-(2,3-Dihydroxy-4-methoxyphenyl)-5-hydroxy-3,6,7-trimethoxy-4H-chromen-4-one",C19 H18 O9,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_343.28547_1.226_HNEG,Potential ID (Low Confidence),2-Hydroxyethyl 12-hydroxyoctadecanoate,C20 H40 O4,Benzenoids,Phenols,,
FT_343.28549_1.336_HNEG,Potential ID (Low Confidence),2-Hydroxyethyl 12-hydroxyoctadecanoate,C20 H40 O4,Benzenoids,Phenols,,
FT_421.16594_1.328_HNEG,Potential ID (Low Confidence),2-Methoxy-3-{4-[3-(4-phenoxyphenoxy)propoxy]phenyl}propanoic acid,C25 H26 O6,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_207.01208_1.674_HNEG,Not in Internal DB. MS/MS match only,2-Naphthalenesulfonic acid,C10 H8 O3 S,Benzenoids,Naphthalenes,Naphthalene sulfonic acids and derivatives,C16202
FT_171.08029_18.929_RPPOS,Potential ID (Low Confidence),2-Phenylphenol,C12H10O,Benzenoids,Benzene and substituted derivatives,,
FT_223.05999_17.371_RPPOS,Potential ID (Low Confidence),2-Succinylbenzoate,C11H10O5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_223.06001_12.424_RPPOS,Potential ID (Low Confidence),2-Succinylbenzoate,C11H10O5,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_367.26437_1.07_HNEG,Not in Internal DB. MS/MS match only,"2,2-Methylenebis(4-ethyl-6-tert-butylphenol)",C25 H36 O2,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,
FT_275.05489_14.512_RPPOS,Potential ID (Low Confidence),"2,3,6,8-tetrahydroxy-1-methylxanthone",C14H10O6,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_149.09598_17.88_RPPOS,Potential ID (Low Confidence),"2,4,6,8-decatetraenal",C10H12O,Benzenoids,Benzene and substituted derivatives,,
FT_149.09598_17.97_RPPOS,Potential ID (Low Confidence),"2,4,6,8-decatetraenal",C10H12O,Benzenoids,Benzene and substituted derivatives,,
FT_149.09599_14.385_RPPOS,Potential ID (Low Confidence),"2,4,6,8-decatetraenal",C10H12O,Benzenoids,Benzene and substituted derivatives,,
FT_265.08573_17.53_RPPOS,Potential ID (Low Confidence),"2'-Hydroxyfurano [ 2"",3"":4',3' ] chalcone",C17H12O3,Benzenoids,Benzene and substituted derivatives,,
FT_265.08577_15.963_RPPOS,Potential ID (Low Confidence),"2'-Hydroxyfurano [ 2"",3"":4',3' ] chalcone",C17H12O3,Benzenoids,Benzene and substituted derivatives,,
FT_327.15898_13.245_RPPOS,Potential ID (Low Confidence),"2',4',6'-Trihydroxy-3'-prenyldihydrochalcone",C20H22O4,Benzenoids,Benzene and substituted derivatives,,
FT_327.15902_19.132_RPPOS,Potential ID (Low Confidence),"2',6'-Dihydroxy-4'-prenyloxydihydrochalcone",C20H22O4,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_199.05992_1.205_RPPOS,Potential ID (Low Confidence),3-(3_4-Dihydroxyphenyl)lactate,C9H10O5,Benzenoids,Phenols,Methoxyphenols,
FT_177.05568_2.164_HNEG,Not in Internal DB. MS/MS match only,3-Allyl-2-hydroxybenzoic acid,C10 H10 O3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_265.08575_17.205_RPPOS,Not in Internal DB. MS/MS match only,"3-benzyl-4-hydroxy-5-(4-hydroxyphenyl)-2,5-dihydrofuran-2-one",C17H14O4,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_181.04943_12.162_RPPOS,Potential ID (Low Confidence),"3-hydroxy-2,3-dihydrobenzofuran-5-carboxylic acid",C9H8O4,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_273.14831_18.918_RPPOS,Potential ID (Low Confidence),"3-hydroxyl-2',5-dimethoxy-2-methylbibenzyl",C17H20O3,Benzenoids,Benzene and substituted derivatives,,
FT_167.03493_1.612_HNEG,Not in Internal DB. MS/MS match only,3-Hydroxymandelic acid,C8 H8 O4,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,
FT_237.0756_12.333_RPPOS,Potential ID (Low Confidence),"3-Hydroxymethyl-6,8-dimethoxycoumarin",C12H12O5,Benzenoids,Phenols,,
FT_149.02445_1.528_HNEG,Potential ID (Low Confidence),3-Hydroxyphthalide,C8 H6 O3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_195.02986_1.662_HNEG,Potential ID (Low Confidence),3-Hydroxyphthalide,C8 H6 O3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_137.05959_11.214_RPPOS,Not in Internal DB. MS/MS match only,3-Methoxybenzaldehyde,C8H8O2,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,
FT_148.0756_12.717_RPPOS,Potential ID (Low Confidence),3-Methyloxindole,C9H9NO,Benzenoids,,,
FT_213.0756_8.515_RPPOS,Potential ID (Low Confidence),"3,4,5-Trimethoxybenzoic acid",C10H12O5,Benzenoids,Phenols,Methoxyphenols,
FT_205.0493_8.443_RPPOS,Not in Internal DB. MS/MS match only,"3,5-Dihydroxy-2-naphthoic acid",C11H8O4,Benzenoids,Naphthalenes,Naphthalenecarboxylic acids and derivatives,
FT_205.04936_11.048_RPPOS,Not in Internal DB. MS/MS match only,"3,5-Dihydroxy-2-naphthoic acid",C11H8O4,Benzenoids,Naphthalenes,Naphthalenecarboxylic acids and derivatives,
FT_205.04939_12.333_RPPOS,Not in Internal DB. MS/MS match only,"3,5-Dihydroxy-2-naphthoic acid",C11H8O4,Benzenoids,Naphthalenes,Naphthalenecarboxylic acids and derivatives,
FT_205.0494_11.188_RPPOS,Not in Internal DB. MS/MS match only,"3,5-Dihydroxy-2-naphthoic acid",C11H8O4,Benzenoids,Naphthalenes,Naphthalenecarboxylic acids and derivatives,
FT_357.13311_13.802_RPPOS,Potential ID (Low Confidence),"3,5,4'-Trihydroxy-4"",5""-dihydro-6"",6""-dimethylpyrano [ 2"",3"":7,8 ] flavanone",C20H20O6,Benzenoids,Phenol ethers,Anisoles,
FT_357.13317_13.99_RPPOS,Potential ID (Low Confidence),"3,5,4'-Trihydroxy-4"",5""-dihydro-6"",6""-dimethylpyrano [ 2"",3"":7,8 ] flavanone",C20H20O6,Benzenoids,Phenol ethers,Anisoles,
FT_373.27497_1.118_HNEG,Potential ID (Low Confidence),"3beta,21-Dihydroxy-4,4,14-trimethyl-5alpha-pregn-8-en-20-one",C24 H38 O3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_209.15469_1.213_HNEG,Potential ID (Low Confidence),"3E,5E-tridecadienoic acid",C13 H22 O2,Benzenoids,Benzene and substituted derivatives,,
FT_209.1547_1.366_HNEG,Potential ID (Low Confidence),"3E,5E-tridecadienoic acid",C13 H22 O2,Benzenoids,Benzene and substituted derivatives,,
FT_241.05066_1.263_HNEG,Potential ID (Low Confidence),4-(3-Hydroxy-2-naphthyl)-2-oxobut-3-enoic acid,C14 H10 O4,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_249.14966_1.229_HNEG,Not in Internal DB. MS/MS match only,4-(octyloxy)benzoic acid,C15 H22 O3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_351.03594_1.23_HNEG,Potential ID (Low Confidence),4-[2-(5-Carboxy-2-hydroxy-3-methoxyphenyl)-2-oxoethylidene]-2-hydroxy-2-pentenedioate,C15 H12 O10,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,
FT_163.03886_10.846_RPPOS,Potential ID (Low Confidence),4-Coumarylalcohol(4-Hydroxycoumarin),C9H6O3,Benzenoids,Naphthalenes,Naphthoquinones,
FT_325.18447_1.124_HNEG,Not in Internal DB. MS/MS match only,4-Dodecylbenzenesulfonic acid,C18 H30 O3 S,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,
FT_325.18447_1.289_HNEG,Not in Internal DB. MS/MS match only,4-Dodecylbenzenesulfonic acid,C18 H30 O3 S,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,
FT_325.18451_1.197_HNEG,Not in Internal DB. MS/MS match only,4-Dodecylbenzenesulfonic acid,C18 H30 O3 S,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,
FT_286.11983_17.763_RPPOS,Potential ID (Low Confidence),"4-Hydroxy-2',4'-dimethoxydihydrochalcone",C17H18O4,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds,
FT_137.02446_1.524_HNEG,Confirmed ID (High confidence); other possible IDs: salicylic acid,4-Hydroxybenzoic acid,C7 H6 O3,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,C00156
FT_160.07559_7.009_RPPOS,Potential ID (Low Confidence),4-Hydroxymethylquinoline,C10H9NO,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_165.01926_1.514_HNEG,Potential ID (Low Confidence),4-hydroxyphenylglyoxylate,C8 H6 O4,Benzenoids,Phenols,,
FT_165.05448_20.622_RPPOS,Potential ID (Low Confidence),4-methoxy-3H-isobenzofuran-1-one,C9H8O3,Benzenoids,,,
FT_165.05453_20.27_RPPOS,Potential ID (Low Confidence),4-methoxy-3H-isobenzofuran-1-one,C9H8O3,Benzenoids,,,
FT_161.06075_1.214_HNEG,Potential ID (Low Confidence),4-Methoxycinnamaldehyde,C10 H10 O2,Benzenoids,Benzene and substituted derivatives,,
FT_199.11156_18.936_RPPOS,Potential ID (Low Confidence),4-Phenethylphenol,C14H14O,Benzenoids,Benzene and substituted derivatives,,
FT_199.11156_19.001_RPPOS,Potential ID (Low Confidence),4-Phenethylphenol,C14H14O,Benzenoids,Benzene and substituted derivatives,,
FT_199.11157_19.41_RPPOS,Potential ID (Low Confidence),4-Phenethylphenol,C14H14O,Benzenoids,Benzene and substituted derivatives,,
FT_199.11158_20.28_RPPOS,Potential ID (Low Confidence),4-Phenethylphenol,C14H14O,Benzenoids,Benzene and substituted derivatives,,
FT_199.11159_18.837_RPPOS,Potential ID (Low Confidence),4-Phenethylphenol,C14H14O,Benzenoids,Benzene and substituted derivatives,,
FT_165.09091_14.521_RPPOS,Not in Internal DB. MS/MS match only,4-Phenylbutyric acid,C10H12O2,Benzenoids,Benzene and substituted derivatives,,
FT_283.16912_16.289_RPPOS,Potential ID (Low Confidence),4-Prenyldihydropinosylvin,C19H22O2,Benzenoids,Phenols,,
FT_135.0452_1.236_HNEG,Potential ID (Low Confidence),4-Vinylcatechol,C8 H8 O2,Benzenoids,Benzene and substituted derivatives,Styrenes,
FT_275.12763_16.999_RPPOS,Potential ID (Low Confidence),"4,4'-dihydroxy-3,5-dimethoxydihydrostilbene",C16H18O4,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,
FT_275.12766_17.094_RPPOS,Potential ID (Low Confidence),"4,4'-dihydroxy-3,5-dimethoxydihydrostilbene",C16H18O4,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,
FT_181.04942_19.127_RPPOS,Potential ID (Low Confidence),"4,5-dihydroxy-7-methylphthalide",C9H8O4,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,
FT_197.00912_1.296_HNEG,Potential ID (Low Confidence),"4,5-Dihydroxyphthalic acid",C8 H6 O6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_197.00913_1.169_HNEG,Potential ID (Low Confidence),"4,5-Dihydroxyphthalic acid",C8 H6 O6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_197.00914_1.442_HNEG,Potential ID (Low Confidence),"4,5-Dihydroxyphthalic acid",C8 H6 O6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_197.00914_3.224_HNEG,Potential ID (Low Confidence),"4,5-Dihydroxyphthalic acid",C8 H6 O6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_197.00915_1.527_HNEG,Potential ID (Low Confidence),"4,5-Dihydroxyphthalic acid",C8 H6 O6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_197.00916_1.942_HNEG,Potential ID (Low Confidence),"4,5-Dihydroxyphthalic acid",C8 H6 O6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_239.10649_17.063_RPPOS,Potential ID (Low Confidence),4'-Methoxychalcone,C16H14O2,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,
FT_283.05982_15.161_RPPOS,Potential ID (Low Confidence),4'-O-Methylcoumestrol,C16H10O5,Benzenoids,Anthracenes,Anthraquinones,
FT_283.05984_15.813_RPPOS,Potential ID (Low Confidence),4'-O-Methylcoumestrol,C16H10O5,Benzenoids,Anthracenes,Anthraquinones,
FT_283.05996_15.736_RPPOS,Potential ID (Low Confidence),4'-O-Methylcoumestrol,C16H10O5,Benzenoids,Anthracenes,Anthraquinones,
FT_343.11882_1.659_HNEG,Potential ID (Low Confidence),"4',5,6,7-Tetramethoxyflavanone",C19 H20 O6,Benzenoids,,,
FT_319.263_17.55_RPPOS,Not in Internal DB. MS/MS match only,"5-[(Z)-Pentadec-8-enyl]benzene-1,3-diol",C21H34O2,Benzenoids,Phenols,Benzenediols,
FT_233.08065_17.322_RPPOS,Potential ID (Low Confidence),"5-hydroxy-2-(2-hydroxypropyl)naphthalene-1,4-dione",C13H12O4,Benzenoids,Phenol ethers,Anisoles,
FT_195.06502_6.465_RPPOS,Potential ID (Low Confidence),5-Hydroxyconiferaldehyde,C10H10O4,Benzenoids,Phenol ethers,Anisoles,
FT_231.02991_1.35_HNEG,Potential ID (Low Confidence),5-hydroxyxanthotoxin,C12 H8 O5,Benzenoids,Naphthalenes,Naphthalenecarboxylic acids and derivatives,
FT_233.04429_11.759_RPPOS,Potential ID (Low Confidence),5-Hydroxyxanthotoxin,C12H8O5,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_233.04432_11.842_RPPOS,Potential ID (Low Confidence),5-Hydroxyxanthotoxin,C12H8O5,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_377.12299_13.097_RPPOS,Potential ID (Low Confidence),"5,3'-Dihydroxy-6,7,4',5'-tetramethoxyflavanone",C19H20O8,Benzenoids,Tetralins,,
FT_291.23169_19.313_RPPOS,Potential ID (Low Confidence),5alpha-dihydrotesosterone,C19H30O2,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_253.17964_18.085_RPPOS,Not in Internal DB. MS/MS match only,"6-(7-methyloctyl)-1H,3H,4H,6H-furo[3,4-c]furan-1-one",C15H24O3,Benzenoids,Benzene and substituted derivatives,,
FT_269.11709_15.041_RPPOS,Not in Internal DB. MS/MS match only,"6-methoxy-2-[(5-methyl-2-furyl)methylidene]-1,2,3,4-tetrahydronaphthalen-1-one",C17H16O3,Benzenoids,Tetralins,,
FT_253.08579_14.409_RPPOS,Potential ID (Low Confidence),6-Methoxyflavone,C16H12O3,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds,
FT_211.08645_15.952_RPPOS,Not in Internal DB. MS/MS match only,"6,7-dihydro-5H-dibenzo[d,f][1,3]diazepin-6-one",C13H10N2O,Benzenoids,,,
FT_199.09757_1.459_HNEG,Potential ID (Low Confidence),"6,9-dioxo-decanoic acid",C10 H16 O4,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_271.13272_18.549_RPPOS,Potential ID (Low Confidence),7-Hydroxy-5-methoxy-6-methylflavan,C17H18O3,Benzenoids,Phenol ethers,Anisoles,
FT_191.03495_1.667_HNEG,Potential ID (Low Confidence),7-Hydroxy-5-methoxycoumarin,C10 H8 O4,Benzenoids,,,
FT_241.08577_16.891_RPPOS,Potential ID (Low Confidence),7-Hydroxyflavanone,C15H12O3,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds,
FT_227.10647_19.41_RPPOS,Potential ID (Low Confidence),7-isopropenyl-4-methyl-azulene-1-carboxylic acid,C15H14O2,Benzenoids,,,
FT_227.10651_18.383_RPPOS,Potential ID (Low Confidence),7-isopropenyl-4-methyl-azulene-1-carboxylic acid,C15H14O2,Benzenoids,,,
FT_341.0654_19.083_RPPOS,Potential ID (Low Confidence),"7-Methoxy-5,6:3',4'-bis (methylenedioxy) flavone",C18H12O7,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,
FT_253.08571_17.555_RPPOS,Potential ID (Low Confidence),7-Methoxyflavone,C16H12O3,Benzenoids,Benzene and substituted derivatives,,
FT_165.04078_1.051_HNEG,Not in Internal DB. MS/MS match only,7-Methylxanthine,C6 H6 N4 O2,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_327.08617_19.178_RPPOS,Potential ID (Low Confidence),"7,8-Dimethoxy-3',4'-methylenedioxyflavone",C18H14O6,Benzenoids,Phenol ethers,Anisoles,
FT_165.05451_11.678_RPPOS,Potential ID (Low Confidence),"9-hydroxy-7E-Nonene-3,5-diynoic acid",C9H8O3,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_165.05451_12.579_RPPOS,Potential ID (Low Confidence),"9-hydroxy-7E-Nonene-3,5-diynoic acid",C9H8O3,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_217.08574_13.811_RPPOS,Potential ID (Low Confidence),Agropyrenal,C13H12O3,Benzenoids,Phenol ethers,Anisoles,
FT_277.17967_18.645_RPPOS,Potential ID (Low Confidence),Annullatin A,C17H24O3,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_209.05955_16.185_RPPOS,Potential ID (Low Confidence),Anthraquinone,C14H8O2,Benzenoids,Benzene and substituted derivatives,Phenylphosphines and derivatives,
FT_503.33798_1.608_HNEG,Not in Internal DB. MS/MS match only,Arjungenin,C30 H48 O6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_387.27546_1.237_HNEG,Potential ID (Low Confidence),ascr#26,C21 H40 O6,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,
FT_328.16688_16.102_RPPOS,Potential ID (Low Confidence),Aspergiloid H,C20H24O4,Benzenoids,Benzene and substituted derivatives,,
FT_243.12382_1.338_HNEG,Potential ID (Low Confidence),Asperitaconic acid A,C12 H20 O5,Benzenoids,,,
FT_243.12384_1.689_HNEG,Potential ID (Low Confidence),Asperitaconic acid A,C12 H20 O5,Benzenoids,,,
FT_323.16404_17.625_RPPOS,Potential ID (Low Confidence),Aspopyrone A,C21H22O3,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_323.16405_17.722_RPPOS,Potential ID (Low Confidence),Aspopyrone A,C21H22O3,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,
FT_313.10692_18.57_RPPOS,Potential ID (Low Confidence),Asterogynin A,C18H16O5,Benzenoids,Phenol ethers,,
FT_273.18475_20.809_RPPOS,Potential ID (Low Confidence),Beta-estradiol,C18H24O2,Benzenoids,,,
FT_415.21121_17.97_RPPOS,Not in Internal DB. MS/MS match only,Bis(4-ethylbenzylidene)sorbitol,C24H30O6,Benzenoids,Phenol ethers,NA,
FT_415.21125_18.485_RPPOS,Not in Internal DB. MS/MS match only,Bis(4-ethylbenzylidene)sorbitol,C24H30O6,Benzenoids,Phenol ethers,NA,
FT_415.21126_17.444_RPPOS,Not in Internal DB. MS/MS match only,Bis(4-ethylbenzylidene)sorbitol,C24H30O6,Benzenoids,Phenol ethers,NA,
FT_415.21129_18.188_RPPOS,Not in Internal DB. MS/MS match only,Bis(4-ethylbenzylidene)sorbitol,C24H30O6,Benzenoids,Phenol ethers,NA,
FT_415.21133_18.122_RPPOS,Not in Internal DB. MS/MS match only,Bis(4-ethylbenzylidene)sorbitol,C24H30O6,Benzenoids,Phenol ethers,NA,
FT_309.17043_1.224_HNEG,Potential ID (Low Confidence),Botrydial,C17 H26 O5,Benzenoids,Phenol ethers,Anisoles,
